home_ownership,annual_inc,loan_amount,loan_condition
MORTGAGE,90000,25875,Good Loan
MORTGAGE,132000,2000,Good Loan
OWN,64000,3000,Good Loan
MORTGAGE,93000,25000,Good Loan
MORTGAGE,32000,1700,Good Loan
RENT,50000,25450,Bad Loan
MORTGAGE,130000,10000,Good Loan
MORTGAGE,119000,12000,Good Loan
MORTGAGE,50000,27000,Good Loan
RENT,45600,6000,Bad Loan
MORTGAGE,66996,23000,Good Loan
MORTGAGE,47300,6000,Good Loan
MORTGAGE,54000,15000,Good Loan
OWN,41600,12000,Good Loan
OWN,48000,8000,Good Loan
RENT,40000,13225,Good Loan
MORTGAGE,60000,32875,Good Loan
MORTGAGE,35000,7500,Good Loan
RENT,90000,5000,Bad Loan
MORTGAGE,72000,14000,Good Loan
MORTGAGE,500000,30000,Good Loan
RENT,25000,5000,Bad Loan
MORTGAGE,70000,10000,Good Loan
MORTGAGE,118400,35000,Good Loan
MORTGAGE,70000,19400,Bad Loan
OWN,20000,3600,Bad Loan
RENT,80000,30000,Good Loan
RENT,55000,7500,Good Loan
MORTGAGE,79000,18000,Bad Loan
MORTGAGE,58172,18975,Good Loan
RENT,80000,12000,Good Loan
MORTGAGE,300000,10000,Good Loan
MORTGAGE,42000,12500,Good Loan
MORTGAGE,50000,16275,Good Loan
RENT,65000,7000,Good Loan
MORTGAGE,72996,9200,Good Loan
MORTGAGE,200000,30000,Good Loan
MORTGAGE,25500,3000,Bad Loan
MORTGAGE,26400,10300,Bad Loan
RENT,90000,15600,Good Loan
OWN,102000,8000,Good Loan
RENT,60036,7200,Good Loan
RENT,67000,3000,Good Loan
MORTGAGE,57188,17450,Good Loan
MORTGAGE,85000,12000,Good Loan
MORTGAGE,60000,16000,Good Loan
RENT,57000,10000,Good Loan
MORTGAGE,47400,16500,Good Loan
RENT,54000,5000,Good Loan
MORTGAGE,79500,16000,Good Loan
MORTGAGE,57000,7200,Good Loan
OWN,46000,23000,Good Loan
MORTGAGE,72000,14000,Good Loan
MORTGAGE,75000,20000,Good Loan
RENT,14000,3450,Good Loan
RENT,56400,9500,Good Loan
MORTGAGE,82000,25000,Good Loan
RENT,50000,6000,Good Loan
MORTGAGE,94000,10000,Good Loan
OWN,53000,3000,Good Loan
MORTGAGE,72000,17000,Good Loan
MORTGAGE,69600,4800,Bad Loan
MORTGAGE,35000,8000,Good Loan
RENT,78300,7000,Good Loan
RENT,93000,10000,Good Loan
RENT,70000,8000,Good Loan
RENT,83004,18000,Good Loan
MORTGAGE,67000,5750,Good Loan
MORTGAGE,68000,18000,Good Loan
MORTGAGE,70000,14000,Bad Loan
OWN,30000,8875,Good Loan
MORTGAGE,56400,7000,Good Loan
RENT,30000,11100,Good Loan
MORTGAGE,165000,10000,Good Loan
RENT,43000,4000,Good Loan
MORTGAGE,45516,6000,Good Loan
MORTGAGE,40000,14000,Good Loan
RENT,41146,20000,Good Loan
RENT,50400,30000,Good Loan
MORTGAGE,98000,1825,Good Loan
MORTGAGE,85000,15000,Good Loan
RENT,80800,20400,Bad Loan
MORTGAGE,90111,25000,Bad Loan
RENT,47000,12000,Good Loan
MORTGAGE,80000,19200,Good Loan
MORTGAGE,115000,10000,Good Loan
OWN,29004,3500,Good Loan
RENT,55000,4800,Good Loan
MORTGAGE,60000,4000,Good Loan
RENT,36000,7000,Good Loan
RENT,100000,5000,Good Loan
RENT,21120,10000,Good Loan
RENT,125000,15000,Good Loan
RENT,150000,4000,Bad Loan
RENT,40000,13100,Bad Loan
RENT,130000,18000,Good Loan
MORTGAGE,93000,3600,Good Loan
MORTGAGE,357000,14000,Good Loan
RENT,24000,9600,Good Loan
MORTGAGE,180000,28000,Good Loan
MORTGAGE,60000,10000,Good Loan
RENT,21600,3800,Bad Loan
RENT,120000,12000,Good Loan
MORTGAGE,195800,25000,Bad Loan
MORTGAGE,42000,9350,Good Loan
RENT,160000,35000,Good Loan
MORTGAGE,47000,8000,Good Loan
OWN,54000,15000,Good Loan
MORTGAGE,62000,9000,Good Loan
MORTGAGE,135000,30000,Good Loan
RENT,95000,4000,Good Loan
RENT,80000,14000,Good Loan
RENT,44000,5000,Bad Loan
RENT,175000,25000,Good Loan
MORTGAGE,83004,15000,Good Loan
RENT,84000,15000,Good Loan
RENT,40000,9600,Good Loan
OWN,65000,15000,Good Loan
MORTGAGE,52000,14500,Good Loan
MORTGAGE,45600,10000,Good Loan
RENT,171500,18000,Good Loan
MORTGAGE,120000,21000,Good Loan
MORTGAGE,110000,14000,Good Loan
RENT,104000,20000,Bad Loan
RENT,52446,23275,Good Loan
RENT,66000,8700,Bad Loan
MORTGAGE,80000,6450,Bad Loan
MORTGAGE,120000,28000,Good Loan
RENT,90000,12000,Good Loan
MORTGAGE,150000,28000,Good Loan
RENT,102000,8000,Good Loan
MORTGAGE,35000,15000,Good Loan
MORTGAGE,85000,25000,Bad Loan
MORTGAGE,80000,12000,Good Loan
MORTGAGE,116000,10000,Good Loan
RENT,97000,20000,Good Loan
MORTGAGE,48000,2000,Good Loan
MORTGAGE,45000,3675,Bad Loan
RENT,30000,4500,Good Loan
RENT,66500,8150,Good Loan
MORTGAGE,72000,12000,Good Loan
RENT,65000,15000,Good Loan
MORTGAGE,72000,17000,Good Loan
MORTGAGE,110000,27300,Good Loan
RENT,69000,7200,Bad Loan
RENT,70000,3000,Good Loan
MORTGAGE,85000,10000,Good Loan
RENT,18000,7000,Good Loan
OWN,42000,10000,Good Loan
RENT,71000,23975,Good Loan
OWN,190000,15000,Good Loan
MORTGAGE,42996,3350,Good Loan
RENT,41600,6000,Bad Loan
RENT,44760,3300,Good Loan
RENT,83204,14100,Good Loan
MORTGAGE,54000,7000,Good Loan
RENT,40000,6700,Good Loan
MORTGAGE,56472,31000,Bad Loan
RENT,33000,6000,Good Loan
MORTGAGE,72000,28000,Good Loan
RENT,64000,5000,Good Loan
OWN,130000,7000,Bad Loan
RENT,26400,7075,Good Loan
RENT,63000,23700,Good Loan
RENT,60626,8625,Good Loan
MORTGAGE,53000,11500,Good Loan
MORTGAGE,75000,31800,Good Loan
RENT,25000,5800,Good Loan
RENT,30000,6000,Good Loan
OWN,17640,4000,Bad Loan
MORTGAGE,63132,10000,Good Loan
RENT,38700,10000,Good Loan
MORTGAGE,82000,4000,Good Loan
MORTGAGE,50000,6300,Good Loan
MORTGAGE,90000,35000,Bad Loan
OWN,61000,12000,Good Loan
MORTGAGE,65000,34000,Bad Loan
RENT,110000,6000,Good Loan
RENT,113000,15000,Good Loan
OWN,27000,5000,Bad Loan
MORTGAGE,63000,18250,Good Loan
MORTGAGE,46000,11000,Good Loan
MORTGAGE,65000,10000,Good Loan
MORTGAGE,55000,7500,Good Loan
RENT,58000,12800,Good Loan
RENT,65000,6000,Good Loan
RENT,52000,26200,Good Loan
MORTGAGE,54000,15000,Bad Loan
RENT,70000,16200,Good Loan
RENT,34000,4400,Good Loan
RENT,70596,13000,Bad Loan
RENT,36000,5000,Good Loan
MORTGAGE,45000,5600,Good Loan
RENT,52000,5200,Good Loan
MORTGAGE,75000,12000,Good Loan
MORTGAGE,87996,30000,Good Loan
MORTGAGE,95000,30000,Bad Loan
MORTGAGE,159000,25000,Good Loan
RENT,29088,7200,Good Loan
RENT,80000,22250,Good Loan
MORTGAGE,88000,10000,Good Loan
MORTGAGE,52000,7000,Good Loan
MORTGAGE,70000,30000,Good Loan
RENT,60000,4500,Good Loan
MORTGAGE,42806,1000,Good Loan
RENT,18000,3000,Good Loan
MORTGAGE,103200,35000,Bad Loan
MORTGAGE,180000,13000,Good Loan
MORTGAGE,170000,11000,Good Loan
MORTGAGE,54000,9000,Good Loan
RENT,51000,14000,Good Loan
MORTGAGE,55620,25000,Good Loan
MORTGAGE,65000,12000,Good Loan
RENT,115000,5000,Good Loan
MORTGAGE,100000,12000,Good Loan
MORTGAGE,49067,31825,Good Loan
RENT,35000,4800,Bad Loan
RENT,37000,13000,Good Loan
RENT,32004,3400,Bad Loan
MORTGAGE,210000,20000,Good Loan
MORTGAGE,53920,20000,Good Loan
MORTGAGE,120000,2400,Good Loan
RENT,63600,12500,Good Loan
RENT,55000,14500,Good Loan
RENT,86000,16000,Good Loan
MORTGAGE,120000,10000,Good Loan
RENT,92000,15000,Good Loan
RENT,24000,12000,Good Loan
MORTGAGE,85000,12000,Bad Loan
RENT,35000,2000,Good Loan
MORTGAGE,33000,4000,Good Loan
MORTGAGE,80000,35000,Bad Loan
RENT,85000,10000,Good Loan
RENT,31200,8325,Good Loan
MORTGAGE,85000,5500,Good Loan
MORTGAGE,120000,34675,Good Loan
MORTGAGE,31000,9950,Good Loan
RENT,25000,9750,Good Loan
MORTGAGE,240000,15000,Good Loan
RENT,55000,20000,Good Loan
MORTGAGE,101004,11025,Good Loan
RENT,15360,1600,Good Loan
MORTGAGE,85000,35000,Good Loan
MORTGAGE,47000,11000,Good Loan
RENT,51000,20000,Good Loan
MORTGAGE,57000,5500,Good Loan
RENT,92000,10000,Good Loan
MORTGAGE,40000,3000,Good Loan
MORTGAGE,78500,35000,Good Loan
RENT,82000,12000,Bad Loan
OWN,95000,4800,Good Loan
MORTGAGE,70000,5000,Good Loan
MORTGAGE,65000,8000,Good Loan
RENT,48500,17500,Good Loan
MORTGAGE,50000,17200,Good Loan
RENT,70000,10000,Good Loan
MORTGAGE,70000,6000,Good Loan
RENT,77000,3500,Good Loan
MORTGAGE,45000,3000,Good Loan
RENT,38400,3600,Good Loan
MORTGAGE,33000,6000,Good Loan
RENT,92000,16500,Good Loan
MORTGAGE,25500,7850,Good Loan
RENT,38500,18250,Good Loan
MORTGAGE,48000,8400,Good Loan
MORTGAGE,52000,22000,Good Loan
MORTGAGE,60000,4000,Good Loan
RENT,39000,16000,Good Loan
RENT,34000,6000,Good Loan
MORTGAGE,65000,13200,Bad Loan
RENT,36500,14125,Good Loan
MORTGAGE,80000,14175,Good Loan
RENT,27700,4800,Good Loan
MORTGAGE,66000,13200,Good Loan
RENT,32000,15000,Good Loan
RENT,67200,8000,Good Loan
MORTGAGE,65000,19200,Good Loan
RENT,52000,12000,Good Loan
RENT,93000,12000,Good Loan
MORTGAGE,170000,5000,Good Loan
MORTGAGE,38100,3900,Good Loan
MORTGAGE,44004,15000,Good Loan
MORTGAGE,42996,12000,Good Loan
MORTGAGE,75000,19000,Good Loan
MORTGAGE,85000,3000,Good Loan
MORTGAGE,54000,8500,Good Loan
MORTGAGE,74000,5000,Good Loan
RENT,61859,27300,Good Loan
MORTGAGE,45000,22500,Good Loan
RENT,42000,7000,Bad Loan
MORTGAGE,100000,18000,Good Loan
MORTGAGE,97000,6400,Good Loan
RENT,36000,3000,Good Loan
MORTGAGE,90000,23000,Good Loan
RENT,33000,18000,Good Loan
MORTGAGE,49000,16800,Good Loan
MORTGAGE,225000,30000,Good Loan
OWN,37000,10000,Good Loan
MORTGAGE,75000,14000,Good Loan
RENT,36000,12000,Good Loan
RENT,46900,14000,Good Loan
MORTGAGE,120000,15000,Good Loan
RENT,64000,9000,Good Loan
MORTGAGE,132000,2400,Good Loan
RENT,69996,3500,Good Loan
MORTGAGE,120000,12000,Good Loan
RENT,91200,5000,Good Loan
MORTGAGE,90000,12000,Good Loan
MORTGAGE,110000,35000,Good Loan
MORTGAGE,64000,7000,Good Loan
MORTGAGE,50400,15000,Bad Loan
RENT,48996,6000,Bad Loan
RENT,65000,9000,Good Loan
OWN,47000,6000,Good Loan
MORTGAGE,42000,8000,Good Loan
RENT,68000,6500,Good Loan
RENT,55000,18200,Bad Loan
RENT,25000,6000,Good Loan
MORTGAGE,135000,6700,Good Loan
RENT,155000,8000,Good Loan
MORTGAGE,61400,21000,Bad Loan
MORTGAGE,68000,12000,Good Loan
RENT,85000,35000,Bad Loan
RENT,61368,13500,Good Loan
MORTGAGE,119500,24000,Good Loan
RENT,70000,7800,Good Loan
RENT,75000,12000,Good Loan
MORTGAGE,115742,7000,Good Loan
MORTGAGE,38000,16450,Good Loan
RENT,55000,8575,Good Loan
RENT,36900,16000,Good Loan
RENT,18072,3000,Good Loan
RENT,82100,12200,Good Loan
RENT,63000,10800,Bad Loan
MORTGAGE,82000,30000,Bad Loan
MORTGAGE,72000,6000,Bad Loan
RENT,60000,20000,Good Loan
MORTGAGE,55000,18000,Good Loan
MORTGAGE,65000,20000,Good Loan
MORTGAGE,24000,5000,Good Loan
MORTGAGE,64000,21000,Good Loan
MORTGAGE,52645,2000,Bad Loan
RENT,40277,15000,Good Loan
MORTGAGE,125000,14000,Good Loan
RENT,92000,22000,Good Loan
RENT,35000,10600,Good Loan
RENT,80000,13600,Good Loan
RENT,56000,12000,Good Loan
MORTGAGE,52500,23675,Good Loan
RENT,45000,16425,Good Loan
MORTGAGE,87048,17600,Good Loan
RENT,36996,13500,Good Loan
MORTGAGE,56000,14075,Good Loan
RENT,42100,3200,Good Loan
MORTGAGE,76000,9150,Good Loan
MORTGAGE,32000,12000,Bad Loan
MORTGAGE,146885,35000,Good Loan
MORTGAGE,385000,19925,Good Loan
MORTGAGE,67500,14400,Good Loan
MORTGAGE,52000,15000,Good Loan
MORTGAGE,160000,30000,Bad Loan
RENT,40000,12000,Good Loan
MORTGAGE,85000,15000,Good Loan
MORTGAGE,60000,18800,Good Loan
MORTGAGE,55000,25000,Good Loan
MORTGAGE,103800,10000,Good Loan
RENT,30000,12000,Good Loan
MORTGAGE,71500,12000,Good Loan
MORTGAGE,105000,3000,Good Loan
MORTGAGE,43000,9000,Good Loan
RENT,77000,30750,Bad Loan
MORTGAGE,75000,16400,Bad Loan
OWN,30000,18000,Bad Loan
MORTGAGE,100000,8400,Bad Loan
RENT,108000,10000,Good Loan
RENT,32000,8000,Good Loan
MORTGAGE,80000,35000,Good Loan
MORTGAGE,128000,35000,Bad Loan
RENT,60000,21600,Bad Loan
RENT,30000,10000,Good Loan
MORTGAGE,80000,35000,Bad Loan
RENT,49152,6000,Good Loan
MORTGAGE,85000,12000,Good Loan
MORTGAGE,81600,35000,Bad Loan
RENT,97000,21000,Good Loan
MORTGAGE,400000,28000,Good Loan
RENT,78000,14275,Good Loan
RENT,270000,35000,Bad Loan
MORTGAGE,60000,20000,Good Loan
MORTGAGE,400000,25400,Good Loan
OWN,47052,16200,Good Loan
MORTGAGE,61000,15000,Bad Loan
MORTGAGE,77736,8000,Good Loan
MORTGAGE,101000,25000,Good Loan
MORTGAGE,55000,6500,Good Loan
OWN,50000,9175,Good Loan
MORTGAGE,120000,30000,Good Loan
MORTGAGE,60000,30000,Good Loan
MORTGAGE,45000,14000,Good Loan
RENT,94000,7200,Good Loan
MORTGAGE,55000,6625,Good Loan
RENT,140000,16000,Good Loan
RENT,86000,21000,Good Loan
MORTGAGE,80000,12500,Good Loan
RENT,26000,6600,Good Loan
RENT,41000,3000,Good Loan
MORTGAGE,45000,8500,Bad Loan
MORTGAGE,116000,30000,Good Loan
MORTGAGE,90000,25000,Good Loan
RENT,54000,16000,Good Loan
RENT,28000,8700,Good Loan
MORTGAGE,110000,8400,Good Loan
RENT,124000,10000,Good Loan
RENT,94000,10000,Good Loan
MORTGAGE,72000,35000,Good Loan
RENT,50000,8000,Good Loan
MORTGAGE,40000,4500,Good Loan
RENT,58000,12750,Good Loan
MORTGAGE,62000,25000,Bad Loan
MORTGAGE,98400,24000,Good Loan
RENT,60000,7000,Good Loan
RENT,60000,6200,Good Loan
RENT,15600,2000,Good Loan
RENT,93158,7800,Good Loan
RENT,48000,19200,Bad Loan
MORTGAGE,53000,11000,Good Loan
MORTGAGE,187000,10000,Good Loan
MORTGAGE,66000,8000,Bad Loan
RENT,215000,16000,Bad Loan
RENT,46000,22000,Good Loan
MORTGAGE,40000,13200,Bad Loan
MORTGAGE,86400,13800,Good Loan
MORTGAGE,65000,30000,Good Loan
RENT,18000,2000,Bad Loan
MORTGAGE,37000,3600,Good Loan
MORTGAGE,100000,25000,Bad Loan
MORTGAGE,120000,30000,Good Loan
RENT,70720,16000,Bad Loan
MORTGAGE,50000,4800,Good Loan
MORTGAGE,74000,20000,Bad Loan
MORTGAGE,79000,17825,Good Loan
RENT,65642,24000,Bad Loan
RENT,26400,4000,Good Loan
RENT,64000,12000,Bad Loan
MORTGAGE,132500,12000,Good Loan
RENT,53285,4000,Good Loan
RENT,86400,16875,Good Loan
RENT,47000,6000,Bad Loan
RENT,42000,11000,Good Loan
RENT,45000,6000,Good Loan
MORTGAGE,68000,9000,Good Loan
RENT,58000,8500,Good Loan
MORTGAGE,49995,10000,Good Loan
RENT,28800,1600,Good Loan
RENT,60000,16000,Good Loan
RENT,48000,16000,Good Loan
MORTGAGE,40000,15300,Good Loan
MORTGAGE,38000,15200,Good Loan
MORTGAGE,170004,30000,Good Loan
MORTGAGE,113500,35000,Bad Loan
MORTGAGE,175000,8000,Good Loan
RENT,87000,9000,Good Loan
RENT,43000,9575,Good Loan
MORTGAGE,102540,1500,Good Loan
RENT,160000,8000,Good Loan
MORTGAGE,75000,14825,Good Loan
MORTGAGE,80000,12000,Good Loan
RENT,56000,2400,Good Loan
RENT,31000,15000,Good Loan
RENT,28800,5000,Good Loan
MORTGAGE,140000,21800,Bad Loan
MORTGAGE,106000,35000,Good Loan
MORTGAGE,100000,7600,Good Loan
MORTGAGE,84000,25000,Good Loan
OWN,60996,17500,Good Loan
MORTGAGE,174000,8800,Good Loan
OWN,124000,9250,Good Loan
RENT,31200,3600,Good Loan
OWN,55000,6700,Good Loan
MORTGAGE,25000,6000,Good Loan
MORTGAGE,88000,16000,Good Loan
RENT,42000,12000,Good Loan
MORTGAGE,67692,23200,Good Loan
RENT,75000,2200,Good Loan
MORTGAGE,76000,6400,Good Loan
MORTGAGE,60000,13800,Good Loan
RENT,35000,16000,Good Loan
RENT,50000,14475,Good Loan
RENT,32500,2000,Good Loan
RENT,75000,19200,Bad Loan
MORTGAGE,72000,17000,Good Loan
RENT,115000,18000,Bad Loan
MORTGAGE,250000,20000,Bad Loan
MORTGAGE,84996,9000,Good Loan
MORTGAGE,216000,21000,Good Loan
RENT,51000,3000,Good Loan
MORTGAGE,360000,20000,Good Loan
RENT,54000,20000,Good Loan
OWN,45000,7000,Good Loan
MORTGAGE,144000,30000,Bad Loan
RENT,57000,5000,Bad Loan
MORTGAGE,100995,16000,Good Loan
MORTGAGE,115000,35000,Good Loan
MORTGAGE,144000,35000,Good Loan
RENT,85000,18500,Bad Loan
MORTGAGE,80000,14225,Good Loan
MORTGAGE,58000,19000,Good Loan
MORTGAGE,61651,15000,Good Loan
MORTGAGE,120000,10000,Bad Loan
MORTGAGE,40904,12000,Good Loan
MORTGAGE,100000,12000,Good Loan
MORTGAGE,82000,6000,Good Loan
RENT,16000,6250,Bad Loan
MORTGAGE,50000,21850,Good Loan
RENT,30000,11400,Good Loan
OWN,22800,7000,Bad Loan
MORTGAGE,225000,35000,Bad Loan
MORTGAGE,96000,7000,Good Loan
RENT,18000,1600,Good Loan
RENT,35000,5000,Good Loan
RENT,60000,9800,Good Loan
MORTGAGE,65000,8000,Bad Loan
RENT,34000,6000,Good Loan
MORTGAGE,55000,15000,Bad Loan
MORTGAGE,45600,10000,Good Loan
RENT,37200,7000,Good Loan
MORTGAGE,180000,16000,Good Loan
MORTGAGE,120000,11000,Good Loan
RENT,40000,4200,Good Loan
MORTGAGE,38880,9500,Good Loan
MORTGAGE,55000,8000,Good Loan
MORTGAGE,59500,12000,Good Loan
RENT,85000,15000,Good Loan
RENT,47000,5000,Good Loan
RENT,50000,10225,Good Loan
RENT,46500,15000,Good Loan
MORTGAGE,72000,15000,Good Loan
MORTGAGE,400000,17625,Bad Loan
RENT,78000,27500,Good Loan
MORTGAGE,55200,20000,Good Loan
RENT,36000,5000,Good Loan
MORTGAGE,86000,8500,Good Loan
MORTGAGE,58044,8875,Bad Loan
RENT,40000,3500,Good Loan
OWN,65000,20000,Good Loan
MORTGAGE,50004,4200,Good Loan
MORTGAGE,98000,10000,Good Loan
RENT,85000,16000,Good Loan
MORTGAGE,84554,3600,Good Loan
OWN,60000,9000,Good Loan
RENT,30696,15250,Good Loan
MORTGAGE,30000,13225,Good Loan
RENT,41000,5000,Bad Loan
RENT,35000,7200,Good Loan
OWN,66000,20000,Good Loan
MORTGAGE,31850,14125,Good Loan
MORTGAGE,74000,17000,Good Loan
MORTGAGE,68000,10000,Good Loan
RENT,50000,11400,Good Loan
RENT,21600,7000,Good Loan
MORTGAGE,175000,25000,Good Loan
RENT,42000,4000,Good Loan
RENT,20400,6000,Good Loan
MORTGAGE,90000,4000,Good Loan
RENT,25591,5000,Good Loan
MORTGAGE,70000,12000,Good Loan
RENT,81000,12000,Good Loan
MORTGAGE,100000,12000,Good Loan
MORTGAGE,43200,12000,Good Loan
MORTGAGE,55000,15250,Good Loan
RENT,35000,6000,Good Loan
MORTGAGE,86400,16200,Good Loan
MORTGAGE,81000,10000,Good Loan
RENT,112000,6400,Good Loan
RENT,30000,11000,Good Loan
RENT,65000,17000,Bad Loan
RENT,60000,5500,Good Loan
MORTGAGE,47500,12800,Good Loan
MORTGAGE,42500,4800,Good Loan
MORTGAGE,140000,22000,Good Loan
MORTGAGE,66000,25000,Bad Loan
MORTGAGE,40000,2000,Good Loan
RENT,42000,2500,Bad Loan
MORTGAGE,80000,3000,Bad Loan
RENT,36000,5200,Bad Loan
MORTGAGE,54150,22250,Good Loan
RENT,45000,12000,Good Loan
RENT,63900,8000,Good Loan
RENT,36000,6500,Good Loan
MORTGAGE,78000,8000,Good Loan
RENT,70900,17600,Good Loan
OWN,82000,21000,Good Loan
MORTGAGE,125000,24000,Good Loan
MORTGAGE,90000,12000,Good Loan
MORTGAGE,61200,8000,Good Loan
MORTGAGE,91000,2400,Good Loan
RENT,63000,12000,Good Loan
MORTGAGE,59000,3600,Good Loan
MORTGAGE,101400,5600,Good Loan
RENT,85200,8000,Good Loan
MORTGAGE,117500,35000,Good Loan
RENT,39000,16000,Good Loan
MORTGAGE,120000,6000,Good Loan
RENT,68500,30000,Good Loan
MORTGAGE,35000,12000,Good Loan
RENT,48000,6025,Good Loan
MORTGAGE,52000,12000,Good Loan
MORTGAGE,125000,30000,Good Loan
RENT,50000,8000,Good Loan
RENT,207000,12000,Good Loan
MORTGAGE,158000,21000,Good Loan
RENT,45000,20000,Good Loan
MORTGAGE,82000,10000,Good Loan
RENT,54000,6000,Good Loan
RENT,88000,10000,Good Loan
RENT,130000,16000,Good Loan
MORTGAGE,130000,28000,Good Loan
RENT,60000,10000,Bad Loan
RENT,125000,10650,Good Loan
MORTGAGE,120000,7100,Good Loan
MORTGAGE,110000,21000,Good Loan
OWN,65000,18000,Bad Loan
MORTGAGE,128000,35000,Good Loan
RENT,100000,10000,Good Loan
RENT,54000,15000,Good Loan
MORTGAGE,60000,18000,Good Loan
MORTGAGE,130900,4800,Good Loan
OWN,16000,3000,Good Loan
OWN,48000,24000,Good Loan
MORTGAGE,60000,3000,Good Loan
MORTGAGE,50000,22000,Good Loan
OWN,63623,20000,Good Loan
RENT,42000,6500,Good Loan
RENT,42600,12000,Good Loan
MORTGAGE,46800,12725,Good Loan
MORTGAGE,200000,35000,Good Loan
MORTGAGE,86000,21000,Good Loan
RENT,21300,6000,Good Loan
OWN,49200,18000,Good Loan
RENT,38400,2400,Good Loan
MORTGAGE,76486,6000,Good Loan
RENT,60000,12650,Good Loan
RENT,60240,25975,Good Loan
RENT,62000,4500,Bad Loan
MORTGAGE,70000,12000,Good Loan
MORTGAGE,68000,24000,Good Loan
OWN,31216,14000,Good Loan
MORTGAGE,85000,18000,Bad Loan
RENT,83000,6300,Good Loan
RENT,32400,12000,Bad Loan
OWN,115000,30000,Good Loan
MORTGAGE,54000,14275,Good Loan
MORTGAGE,45000,5600,Good Loan
OWN,55000,29175,Good Loan
RENT,120000,8000,Good Loan
RENT,25000,9600,Good Loan
MORTGAGE,86730,12000,Good Loan
MORTGAGE,120000,28000,Good Loan
MORTGAGE,41000,7000,Good Loan
MORTGAGE,55000,12800,Good Loan
RENT,81300,29000,Good Loan
RENT,37000,8400,Good Loan
MORTGAGE,86625,14825,Good Loan
RENT,36996,10000,Good Loan
RENT,74000,12600,Good Loan
MORTGAGE,69000,20000,Good Loan
MORTGAGE,250000,31400,Good Loan
RENT,34000,8000,Good Loan
MORTGAGE,65000,30000,Good Loan
RENT,48000,11000,Good Loan
RENT,90000,12000,Good Loan
MORTGAGE,46000,13700,Good Loan
MORTGAGE,50000,4625,Good Loan
RENT,62467,7250,Good Loan
MORTGAGE,62400,8500,Bad Loan
RENT,28800,5000,Good Loan
OWN,40000,20000,Good Loan
MORTGAGE,58000,7200,Good Loan
MORTGAGE,55000,21000,Good Loan
MORTGAGE,82000,12000,Good Loan
RENT,60000,18000,Good Loan
RENT,80000,21250,Bad Loan
MORTGAGE,65000,2200,Good Loan
MORTGAGE,100000,35000,Good Loan
RENT,33000,16000,Bad Loan
MORTGAGE,66000,16000,Bad Loan
RENT,36000,4200,Good Loan
RENT,12000,2000,Good Loan
RENT,75000,4000,Good Loan
RENT,50000,10000,Good Loan
RENT,73000,14400,Good Loan
RENT,39996,14000,Good Loan
RENT,40800,12000,Good Loan
RENT,60000,9600,Good Loan
RENT,42000,18825,Good Loan
OWN,60000,11500,Good Loan
RENT,25200,5500,Good Loan
MORTGAGE,82776,19075,Good Loan
MORTGAGE,77000,9000,Good Loan
MORTGAGE,100000,24000,Bad Loan
RENT,30000,1000,Good Loan
MORTGAGE,31200,2400,Bad Loan
RENT,47496,3500,Good Loan
RENT,30000,7000,Good Loan
RENT,14400,3600,Good Loan
RENT,18000,5500,Bad Loan
RENT,60000,20000,Good Loan
MORTGAGE,57600,6000,Good Loan
OWN,414996,30000,Good Loan
RENT,12732,1550,Bad Loan
MORTGAGE,42116,20000,Good Loan
MORTGAGE,54000,9600,Good Loan
MORTGAGE,63000,30000,Good Loan
MORTGAGE,88500,2700,Good Loan
MORTGAGE,60000,5600,Good Loan
OWN,33000,2500,Good Loan
MORTGAGE,59774,8600,Good Loan
RENT,52500,8000,Good Loan
MORTGAGE,120000,7000,Good Loan
OWN,36000,18500,Bad Loan
RENT,48000,23850,Good Loan
MORTGAGE,60000,24000,Good Loan
OWN,95004,2800,Good Loan
RENT,82500,18000,Bad Loan
RENT,103000,12000,Good Loan
RENT,39996,5000,Good Loan
MORTGAGE,95000,6600,Good Loan
OWN,19200,2400,Good Loan
RENT,33198,7000,Bad Loan
MORTGAGE,65004,12500,Good Loan
MORTGAGE,38769,2400,Good Loan
MORTGAGE,89204,18000,Good Loan
MORTGAGE,300000,12000,Good Loan
RENT,125000,3000,Good Loan
MORTGAGE,82000,1000,Good Loan
OWN,36000,4000,Good Loan
RENT,54000,3625,Good Loan
RENT,20000,3600,Good Loan
MORTGAGE,48000,10950,Good Loan
MORTGAGE,54000,14400,Bad Loan
RENT,26400,10000,Good Loan
MORTGAGE,140000,24000,Bad Loan
MORTGAGE,48000,5000,Good Loan
OWN,38400,1000,Good Loan
OWN,40000,2500,Good Loan
RENT,26400,5000,Good Loan
RENT,55000,10000,Good Loan
RENT,60000,10000,Bad Loan
RENT,185000,15000,Good Loan
MORTGAGE,72000,12000,Good Loan
MORTGAGE,75000,6000,Good Loan
RENT,115000,9000,Bad Loan
RENT,38400,5000,Good Loan
RENT,50000,25000,Good Loan
RENT,67500,20000,Good Loan
MORTGAGE,90000,10400,Bad Loan
RENT,150000,15000,Bad Loan
MORTGAGE,42000,3000,Good Loan
MORTGAGE,97000,4000,Good Loan
RENT,30000,2000,Bad Loan
RENT,60000,3600,Good Loan
OWN,48000,26375,Good Loan
RENT,66397,20000,Good Loan
RENT,85000,13600,Good Loan
MORTGAGE,87000,3000,Bad Loan
MORTGAGE,43000,8250,Good Loan
MORTGAGE,70000,5500,Good Loan
RENT,54000,20000,Good Loan
